Central Park Precinct,,
Backing Unsafely,0,0
Bike Lane,0,0
Bus Lane,0,41
Cell Phone,0,1
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,2,14
Driving Too Slow,0,0
Equipment,0,12
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,1,65
Failure to Signal,0,0
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,0,0
Improper Passing,0,0
Improper Taxi Pickup,0,0
Improper Turn,7,74
Improper/Missing Plates,0,0
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,0,0
Obstructed Plate,0,3
One Way Street,0,0
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,7,34
School Bus,0,16
Scooter In NYC,0,0
Seat Belt,0,2
Speeding,0,108
Spillback,0,0
TBTA Rule,0,0
Tints,8,171
TLC (Other),0,0
Truck Route,0,0
Uninspected,0,1
Uninsured,0,6
Unlicensed Operator,0,34
Unregistered,0,5
Unsafe Lane Change,0,0
Other Movers,0,4
TOTAL Movers,25,591
